x	y
0.048	166.276
0.086	167.205
0.125	168.598
0.182	170.456
0.221	172.778
0.260	175.565
0.279	180.210
0.317	184.854
0.356	189.964
0.394	194.608
0.433	199.718
0.491	203.433
0.587	206.685
0.683	209.936
0.799	210.865
0.876	211.794
0.953	210.865
1.049	210.400
1.126	209.936
1.184	209.471
1.281	208.543
1.396	207.149
1.492	205.756
1.589	204.827
1.666	203.898
1.762	202.040
1.916	199.253
2.013	197.860
2.109	196.931
2.205	195.073
3.091	181.139
3.978	170.456
4.883	159.773
5.769	150.948
6.675	143.517
7.561	136.549
8.447	130.976
9.333	124.938
10.219	121.222
11.105	115.648
12.011	112.861
12.897	108.681
13.783	105.430
14.669	102.643
15.555	99.392
16.442	97.534
